127.0.0.1, 2014-06-10 12:49:38, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:49:38, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:38, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:38, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/default/edit/Prepratilipi/models/menu.py, HTTP/1.1, 200, 0.048000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002000
3000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/js/ajax_editor.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/js/typeahead.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/images/files_toggle.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/static/_2.9.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:41, GET, /admin/default/edit/Prepratilipi/models/menu.py, HTTP/1.1, 200, 0.097000
